Unnamed: 0,COD,Descrição do Ativo,VAB,VAR %,ULT,OFC,OFV,MAX,MIN,ABE,VOL,ULT NEG,VOL ULT,HORA,Flags,RN,Notas,Feed
,ÍNDICES,,,,,,,,,,,,,,,,,
,IBOV,Índice Bovespa,"-413,78","-0,35%","119.248,60",,,"119.663,06","118.685,10","119.663,06",257.846.700,,100,15:17:30,,,Anotar,Com atraso
,BOV,Upgrade para Tempo Real,VAB,VAR %,ULT,OFC,OFV,MAX,MIN,ABE,VOL,ULT NEG,VOL ULT,HORA,,RN,Notas,Feed
,ABEV3,AMBEV S/A ON,"0,02","0,18%","11,26","11,26","11,27","11,32","11,19","11,21",11.170.300,"11,26",100,15:17:38,,,Anotar,Com atraso
,ALPA4,ALPARGATAS PN,"-0,08","-0,87%","9,07","9,06","9,07","9,21","9,03","9,15",1.431.600,"9,07",100,15:17:43,,,Anotar,Com atraso
,ARZZ3,AREZZO ON,"0,16","0,32%","50,42","50,40","50,45","50,79","49,67","50,26",1.098.400,"50,42",100,15:17:30,,,Anotar,Com atraso
,ASAI3,Sendas Distribuidora ON,"-0,28","-2,40%","11,38","11,38","11,40","11,57","11,38","11,57",2.712.300,"11,38",100,15:18:00,,,Anotar,Com atraso
,AZUL4,AZUL PN,"-0,08","-0,88%","9,04","9,04","9,05","9,14","8,91","9,08",6.524.500,"9,04",100,15:18:01,,,Anotar,Com atraso
,B3SA3,B3 SA - Brasil Bolsa Bal... ON,"0,16","1,54%","10,53","10,52","10,53","10,53","10,29","10,30",17.825.500,"10,53",400,15:18:11,,,Anotar,Com atraso
,BBAS3,BANCO DO BRASIL ON,"-0,01","-0,04%","26,44","26,43","26,44","26,47","26,22","26,45",6.880.700,"26,44",100,15:18:13,,,Anotar,Com atraso
,BBDC3,BRADESCO ON,"0,05","0,44%","11,43","11,42","11,43","11,48","11,32","11,38",4.770.400,"11,43",1.000,15:18:25,,,Anotar,Com atraso
,BBDC4,BRADESCO PN,"0,09","0,70%","12,92","12,92","12,93","12,97","12,81","12,85",31.397.900,"12,92",2.700,15:18:25,,,Anotar,Com atraso
,BBSE3,BB SEGURIDADE ON,"-0,04","-0,12%","32,42","32,42","32,43","32,53","32,31","32,48",1.959.800,"32,42",1.300,15:18:33,,,Anotar,Com atraso
,BEEF3,MINERVA ON,"-0,07","-1,14%","6,09","6,09","6,10","6,16","6,05","6,13",2.219.000,"6,09",200,15:18:25,,,Anotar,Com atraso
,BHIA3,Grupo Casas Bahia ON,"-0,30","-4,93%","5,78","5,77","5,78","6,08","5,74","6,05",2.170.900,"5,78",100,15:18:24,,,Anotar,Com atraso
,BPAC11,BTG PACTUAL UNT,"-0,15","-0,47%","31,75","31,74","31,75","31,88","31,37","31,72",4.806.400,"31,75",100,15:18:48,,,Anotar,Com atraso
,BRAP4,BRADESPAR PN,"-0,29","-1,61%","17,72","17,72","17,73","17,97","17,50","17,90",7.762.200,"17,72",600,15:18:45,,,Anotar,Com atraso
,BRFS3,BRF S/A ON,"-0,45","-2,42%","18,18","18,17","18,19","18,61","18,13","18,49",3.449.100,"18,18",100,15:19:05,,,Anotar,Com atraso
,BRKM5,BRASKEM PNA,"-0,73","-3,97%","17,68","17,65","17,67","18,28","17,58","18,28",2.606.300,"17,68",100,15:18:27,,,Anotar,Com atraso
